school,village,grade,no,stage,hear talk,gender,number of owls seen,what owls eat,home,where build nest,attitude to owls,like nesting in roof,how many different types of owls have you seen near your home?,afraid of owls,what did when last saw owl,what do if owl lands on the roof ,would put nest box in yard,what do you associate owls with?,what do you believe is going to happen if  an owl lands on the roof of your home?,"what problem, if any, do rats and mice cause for you and your family?","what problem, if any, do rats and mice cause for you and your family? 2",what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you associate owls with?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,what do you believe is going to happen if an owl lands on the roof of your home?,"what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?","what problems, if any, do rats and mice cause for you and your family?"
Anderson Memorial Primary School,Ndengeza,6 and 7,14,2 post,yes,female,one,insects,yes,in the branches of a tree,3 - like,yes,one,1 - not afraid,1 - nothing,1 - nothing,,I love owls because owls eat rats and mice,I believe thei its eating some insects like mouse and rats and something else,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,15,2 post,yes,female,none,rats and mice,no,in the roof of a house,1 - not like,no,none,2 - very afraid,1 - nothing,3 - chase the owl away,no,I associate owls with something thet I dont like.,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,16,2 post,yes,female,three,rats and mice,yes,in the roof of a house,3 - like,yes,three,1 - not afraid,1 - nothing,1 - nothing,yes,I will like owls because we eat mice and rats,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,17,2 post,yes,male,three,rats and mice,no,in the branches of a tree,1 - not like,no,three,1 - not afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,18,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,19,2 post,yes,male,four,rats and mice,no,in the branches of a tree,2 - no feeling,no,three,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,20,2 post,yes,male,four,rats and mice,yes,in the branches of a tree,2 - no feeling,yes,four,1 - not afraid,1 - nothing,1 - nothing,no,eat mice and rats and the make a lot of noise,it will help me a lot because they eat mice and rats,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,21,2 post,yes,female,two,rats and mice,no,in the branches of a tree,2 - no feeling,no,two,2 - very afraid,1 - nothing,1 - nothing,no,I associate owls with people,Most black people think owls are sent by witches and that is not true. I believe that the owl is looking for a food to eat or feed its children,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,22,2 post,yes,male,four,rats and mice,yes,in the roof of a house,2 - no feeling,yes,two,2 - very afraid,1 - nothing,1 - nothing,yes,noise,eat a rats,rats come to eat grass,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,23,2 post,yes,female,three,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,24,2 post,yes,male,one,rats and mice,no,in the branches of a tree,2 - no feeling,no,one,2 - very afraid,2 - run away,2 - run away,,come to my home rats and mice are started to finished,,eat my shirt and my food,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,25,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,26,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,27,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,28,2 post,yes,male,four,rats and mice,no,in the branches of a tree,2 - no feeling,no,three,2 - very afraid,3 - try and kill the owl,1 - nothing,no,eat mice and rats,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,29,2 post,yes,female,one,rats and mice,no,in the branches of a tree,2 - no feeling,no,one,2 - very afraid,2 - run away,3 - chase the owl away,no,Africans wi associate owls as witches,eat our food and cloths,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,30,2 post,yes,female,one,rats and mice,no,in the branches of a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,1 - nothing,no,I will associate with the mice and rats to eat them,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,31,2 post,yes,female,two,rats and mice,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,2 - run away,4 - try and kill the owl,no,,I believe it is going to make me cry cause I dont want owls,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,32,2 post,yes,female,one,rats and mice,no,in the roof of a house,1 - not like,no,one,2 - very afraid,1 - nothing,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,33,2 post,yes,female,three,rats and mice,no,in the branches of a tree,2 - no feeling,no,three,2 - very afraid,2 - run away,2 - run away,no,I associate owls with a person face,I believe that owl is going to bewitch me,eat my cloths,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,34,2 post,yes,female,two,rats and mice,no,in the roof of a house,2 - no feeling,no,one,2 - very afraid,2 - run away,2 - run away,no,I associate owls with person face it looks like a person,Noise. Most african people think that owl is witch,"eat our cloths, our fingers, dishes, money.",,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,35,2 post,yes,female,three,rats and mice,yes,in a cavity in a tree,3 - like,no,two,2 - very afraid,2 - run away,3 - chase the owl away,no,I associate owls with a person,Wheaches,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,36,2 post,yes,male,two,leaves,yes,in the branches of a tree,3 - like,yes,one,1 - not afraid,1 - nothing,1 - nothing,no,,eat some mouse,nothing happens,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,37,2 post,yes,female,two,rats and mice,yes,in the branches of a tree,3 - like,yes,two,1 - not afraid,1 - nothing,1 - nothing,yes,Because it will kill rats and mice,nothing,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,38,2 post,yes,male,one,rats and mice,no,in the roof of a house,1 - not like,no,two,2 - very afraid,2 - run away,3 - chase the owl away,yes,i thing is a develi,I think the roof of my home will fall down,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,39,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,40,2 post,yes,male,four,seeds and grains,yes,in the roof of a house,3 - like,yes,four,3 - terrified,1 - nothing,1 - nothing,yes,eat snake,,is not a problems,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,41,2 post,yes,female,four,insects,no,in the roof of a house,1 - not like,no,four,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,42,2 post,yes,male,one,rats and mice,no,in the branches of a tree,1 - not like,no,one,2 - very afraid,1 - nothing,2 - run away,no,with birds,,"eat my books, clothes",,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,43,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,44,2 post,yes,male,three,rats and mice,yes,in the branches of a tree,2 - no feeling,yes,three,1 - not afraid,1 - nothing,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,45,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,46,2 post,yes,male,two,insects,yes,in a cavity in a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,3 - chase the owl away,yes,,,no problem because the cat will get them in the house,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,47,2 post,yes,male,three,rats and mice,yes,in the roof of a house,3 - like,yes,three,2 - very afraid,1 - nothing,1 - nothing,no,,noise,I will feed an owl with those rats,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,48,2 post,yes,female,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,2 - run away,2 - run away,no,I think owl is a person,,eat cloths and they are very scary,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,49,2 post,yes,female,none,seeds and grains,yes,in the branches of a tree,1 - not like,yes,none,3 - terrified,2 - run away,2 - run away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,50,2 post,yes,male,three,rats and mice,no,in the branches of a tree,2 - no feeling,no,three,1 - not afraid,1 - nothing,3 - chase the owl away,no,to kill rats and mice,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,51,2 post,yes,male,two,rats and mice,yes,in the roof of a house,2 - no feeling,no,three,1 - not afraid,1 - nothing,1 - nothing,no,she help me,she want a food like rats and mice,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,52,2 post,yes,female,two,leaves,no,in the roof of a house,1 - not like,no,four,1 - not afraid,1 - nothing,3 - chase the owl away,no,,noise,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,53,2 post,yes,female,two,rats and mice,yes,in the branches of a tree,3 - like,yes,two,1 - not afraid,1 - nothing,1 - nothing,yes,bird,I will be happy,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,54,2 post,yes,female,one,rats and mice,no,in the branches of a tree,2 - no feeling,no,none,2 - very afraid,2 - run away,3 - chase the owl away,no,witches,"there will be a mice and rats, not sleep because owls make noise",,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,55,2 post,yes,female,three,rats and mice,yes,in the branches of a tree,3 - like,yes,three,1 - not afraid,1 - nothing,1 - nothing,yes,"I don’t associate them with anything at all, because I just think is a bird",,eat cloths especially socks,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,56,2 post,yes,female,two,rats and mice,no,in the roof of a house,2 - no feeling,no,two,2 - very afraid,2 - run away,2 - run away,no,with other animals,"eat our cloths, furniture and food",,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,57,2 post,yes,female,three,,,in the branches of a tree,1 - not like,yes,one,2 - very afraid,3 - try and kill the owl,1 - nothing,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,58,2 post,yes,female,one,rats and mice,yes,in the branches of a tree,2 - no feeling,yes,one,1 - not afraid,1 - nothing,1 - nothing,yes,I think that owls are used by witches,help my family by eating rats and mice on the roof,eat our clothes and sometimes eat our food,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,59,2 post,yes,female,one,insects,no,in the branches of a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,1 - nothing,no,with other animals,at night it will make noise,eat cloth and food,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,60,2 post,yes,male,four,rats and mice,yes,in a cavity in a tree,2 - no feeling,yes,four,1 - not afraid,1 - nothing,1 - nothing,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,61,2 post,yes,male,four,rats and mice,yes,in a cavity in a tree,2 - no feeling,yes,four,1 - not afraid,1 - nothing,1 - nothing,yes,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Memorial Primary School,Ndengeza,6 and 7,62,2 post,yes,male,two,rats and mice,yes,in the branches of a tree,3 - like,yes,three,1 - not afraid,1 - nothing,2 - run away,,eat rats and mice,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,1,2 post,yes,male,two,rats and mice,yes,in the roof of a house,2 - no feeling,yes,two,1 - not afraid,1 - nothing,1 - nothing,yes,associate owls with birds,kill all rats and mice nearest my home,eat cloths or even electricity curent,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,2,2 post,yes,male,three,rats and mice,no,in the roof of a house,2 - no feeling,no,three,1 - not afraid,1 - nothing,1 - nothing,no,nothing,nothing,eating clothes,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,3,2 post,yes,male,one,rats and mice,no,in the branches of a tree,3 - like,no,one,1 - not afraid,1 - nothing,1 - nothing,no,nothing,nothing,eating clothes around the house,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,4,2 post,yes,male,one,rats and mice,yes,in the roof of a house,2 - no feeling,yes,two,1 - not afraid,1 - nothing,1 - nothing,yes,birds,will make sound,eat clothes and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,5,2 post,yes,male,three,rats and mice,yes,in a cavity in a tree,2 - no feeling,no,three,1 - not afraid,1 - nothing,3 - chase the owl away,yes,birds,will cry and noise,eat cloths and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,6,2 post,yes,male,none,rats and mice,yes,in the roof of a house,2 - no feeling,yes,two,1 - not afraid,1 - nothing,1 - nothing,yes,birds,will make sound,eat a cloths,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,7,2 post,yes,female,two,rats and mice,no,in the branches of a tree,1 - not like,yes,two,2 - very afraid,2 - run away,2 - run away,yes,cat and birds,believe that they have more rats and mice,no problem,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,8,2 post,yes,male,three,rats and mice,yes,in the roof of a house,2 - no feeling,no,two,1 - not afraid,1 - nothing,3 - chase the owl away,no,birds that are active at night,nothing,eat cloths around the house,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,9,2 post,yes,female,two,rats and mice,yes,in a cavity in a tree,2 - no feeling,no,three,2 - very afraid,2 - run away,3 - chase the owl away,no,birds,scared us,rats and mice,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,10,2 post,yes,male,two,rats and mice,no,,3 - like,no,none,1 - not afraid,1 - nothing,3 - chase the owl away,no,birds,will make sound,eat clothes and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,11,2 post,yes,male,two,insects,no,in the roof of a house,2 - no feeling,no,two,2 - very afraid,1 - nothing,1 - nothing,no,birds,no more rats and mice,There are no problems,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,12,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,,2 - very afraid,2 - run away,3 - chase the owl away,,birds,will make sound,"eat cloths, food",,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,13,2 post,yes,male,three,rats and mice,no,in a cavity in a tree,1 - not like,yes,two,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,yes,witchcraft,I believe it sending by the witch,It causing rubbish,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,14,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,15,2 post,yes,male,two,rats and mice,no,in the branches of a tree,3 - like,no,two,1 - not afraid,1 - nothing,1 - nothing,,birds,looking for rats and mice,eat cloth,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,16,2 post,yes,male,none,rats and mice,no,in the roof of a house,2 - no feeling,no,none,1 - not afraid,1 - nothing,1 - nothing,no,rats,to protect rats and mice,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,17,2 post,yes,male,two,rats and mice,no,in a cavity in a tree,1 - not like,no,two,3 - terrified,1 - nothing,3 - chase the owl away,no,"with birds, eagles and predator","It is going to make noise, walks on top of the house",they eat cloth and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,18,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,19,2 post,yes,male,two,rats and mice,no,in the roof of a house,2 - no feeling,no,none,1 - not afraid,1 - nothing,4 - try and kill the owl,yes,with birds,going to make noise,eat cloth,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,20,2 post,yes,male,two,rats and mice,yes,in the branches of a tree,3 - like,no,two,1 - not afraid,1 - nothing,1 - nothing,yes,birds,will be looking for rats and mice,eat storage seeds,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,21,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,no,associate with birds,making noise at night,eating cloths and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,22,2 post,yes,female,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,,associate with birds,making noise,eating cloths and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,23,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,,with witchcraft,making noise at night,eating of cloths and food,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,24,2 post,yes,female,one,insects,no,in the branches of a tree,1 - not like,,one,3 - terrified,2 - run away,3 - chase the owl away,no,with witchcraft,it will make noise,they destroy furniture,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,25,2 post,yes,male,two,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,,birds,make sound,eat my clothes,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,26,2 post,yes,male,one,rats and mice,yes,in a cavity in a tree,2 - no feeling,no,one,1 - not afraid,1 - nothing,3 - chase the owl away,no,nothing,nothing,I would like to have owls,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,27,2 post,yes,male,four,grass,no,on the ground,2 - no feeling,no,two,1 - not afraid,1 - nothing,1 - nothing,no,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,28,2 post,yes,male,two,rats and mice,no,in the branches of a tree,2 - no feeling,no,two,1 - not afraid,1 - nothing,1 - nothing,,with birds,yes,no problem,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,29,2 post,yes,male,two,insects,yes,in the roof of a house,2 - no feeling,yes,two,2 - very afraid,2 - run away,2 - run away,no,,yes,problem at home,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,30,2 post,yes,male,three,rats and mice,no,in a cavity in a tree,1 - not like,yes,two,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,yes,with birds,It going to happen the bad thing in your home,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,31,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,32,2 post,yes,male,three,rats and mice,yes,in the roof of a house,2 - no feeling,yes,three,2 - very afraid,3 - try and kill the owl,3 - chase the owl away,yes,rats and mice,I dont believe anything,yes I dont like them,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,33,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,34,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,35,2 post,yes,male,one,rats and mice,no,in the branches of a tree,1 - not like,no,two,2 - very afraid,1 - nothing,3 - chase the owl away,no,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,36,2 post,yes,male,three,rats and mice,yes,in a cavity in a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,no,,,eat cloths and home,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,37,2 post,yes,female,three,rats and mice,yes,,3 - like,yes,three,1 - not afraid,1 - nothing,1 - nothing,yes,"with evil, something bad is going to happen",nothing,"eat our clothes, food, furniture, and they distrub us at night",,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,38,2 post,yes,female,two,rats and mice,yes,in the branches of a tree,3 - like,yes,two,1 - not afraid,1 - nothing,1 - nothing,yes,with good things because it helps a lot by eating mice,make a lot noise,"eat our clothes, food and they cause us diseases",,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,39,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,40,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,41,2 post,yes,male,three,rats and mice,no,in a cavity in a tree,1 - not like,no,two,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,42,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,43,2 post,yes,male,one,rats and mice,no,in a cavity in a tree,1 - not like,no,none,2 - very afraid,2 - run away,1 - nothing,no,eat our food and clothes,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,44,2 post,yes,male,four,rats and mice,yes,in the roof of a house,3 - like,no,four,1 - not afraid,1 - nothing,1 - nothing,no,witchcraft,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,45,2 post,yes,male,two,rats and mice,no,in the roof of a house,1 - not like,no,one,2 - very afraid,3 - try and kill the owl,4 - try and kill the owl,no,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,46,2 post,yes,female,two,rats and mice,no,in the branches of a tree,2 - no feeling,no,two,3 - terrified,1 - nothing,3 - chase the owl away,no,with birds,making noise for us at night,eat clothes and books,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,47,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,48,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,49,2 post,yes,male,two,insects,yes,in a cavity in a tree,2 - no feeling,no,three,2 - very afraid,1 - nothing,4 - try and kill the owl,,witch,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,50,2 post,yes,male,three,rats and mice,no,in a cavity in a tree,1 - not like,yes,two,1 - not afraid,3 - try and kill the owl,3 - chase the owl away,,None,None,None,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,51,2 post,yes,male,two,rats and mice,yes,in the roof of a house,1 - not like,no,two,1 - not afraid,3 - try and kill the owl,4 - try and kill the owl,no,birds,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,52,2 post,yes,male,two,rats and mice,no,in the branches of a tree,2 - no feeling,no,two,1 - not afraid,1 - nothing,3 - chase the owl away,no,no,no more rats and mice,no,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,53,2 post,yes,male,two,rats and mice,no,in a cavity in a tree,3 - like,no,three,2 - very afraid,2 - run away,2 - run away,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,54,2 post,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshinavhe Secondary School,Vyeboom,11 and 12,55,2 post,yes,male,four,insects,yes,in the roof of a house,3 - like,yes,one,3 - terrified,1 - nothing,4 - try and kill the owl,yes,birds,someone will die,eat clothes,,,,,,,,,,,,,,,,,,,,,,
Thomas Ntshavheni Primary School,Vyeboom,6 and 7,1,2 post,yes,female,two,seeds and grains,no,in the branches of a tree,1 - not like,yes,two,2 - very afraid,1 - nothing,1 - nothing,yes,,,"eating porage at night, loss of beet, lossing our food",,,,,,,,,,,,,,,,,,,,,,
Thomas Ntshavheni Primary School,Vyeboom,6 and 7,2,2 post,yes,female,three,rats and mice,yes,in a cavity in a tree,2 - no feeling,,,2 - very afraid,1 - nothing,1 - nothing,yes,help us eating rats and mice,,eat our furniture and food,,,,,,,,,,,,,,,,,,,,,,
Thomas Ntshavheni Primary School,Vyeboom,6 and 7,3,2 post,yes,male,three,rats and mice,no,in the roof of a house,1 - not like,no,two,1 - not afraid,1 - nothing,1 - nothing,yes,owls for kill a mouse,nothing,"eat a clothing, a papers, a wood, a book",,,,,,,,,,,,,,,,,,,,,,
Thomas Ntshavheni Primary School,Vyeboom,6 and 7,4,2 post,yes,female,two,rats and mice,no,in the roof of a house,2 - no feeling,no,two,2 - very afraid,2 - run away,3 - chase the owl away,no,like the witch,it will chase my baby,"eat our clothes, bags and food",,,,,,,,,,,,,,,,,,,,,,
Thomas Ntshavheni Primary School,Vyeboom,6 and 7,5,2 post,yes,female,three,rats and mice,yes,in a cavity in a tree,2 - no feeling,yes,three,2 - very afraid,2 - run away,2 - run away,no,,,"eat shoes, bag, food, book",,,,,,,,,,,,,,,,,,,,,,
